img_file,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y,celeb
000089.png,69,111,108,111,83,140,73,151,104,153,5472
000090.png,71,110,105,111,92,133,77,154,100,154,6622
000091.png,69,111,108,111,88,139,73,152,104,152,4915
000092.png,68,112,109,111,94,137,73,151,104,151,4876
000093.png,66,112,111,113,87,126,72,148,105,150,7399
000094.png,68,111,108,112,92,134,69,150,109,153,4960
000095.png,70,112,108,110,92,132,75,153,101,152,2410
000096.png,69,111,108,112,91,128,74,151,103,152,4262
000097.png,69,111,108,111,87,132,76,150,101,154,6530
000098.png,70,111,107,111,80,137,77,152,100,154,5927
000099.png,68,112,109,112,90,138,66,151,111,150,8289
000100.png,69,111,108,111,95,134,69,151,107,152,6746
000101.png,69,112,108,111,92,136,71,152,105,151,4988
000102.png,70,112,107,110,82,122,72,154,104,151,7191
000103.png,70,111,107,111,92,131,74,153,103,153,273
000104.png,68,111,108,112,87,138,68,151,110,152,4323
000105.png,68,112,109,112,91,136,73,152,104,150,1946
000106.png,69,112,108,111,98,141,68,152,109,151,5794
000107.png,67,112,110,112,89,137,67,150,110,150,8833
000108.png,68,112,109,112,90,136,67,151,109,151,4929
000109.png,70,111,107,111,88,139,72,153,105,153,3325
000110.png,66,113,111,112,86,142,65,150,111,149,4731
000111.png,68,111,109,112,79,140,67,150,111,152,9474
000112.png,67,112,110,112,86,136,65,150,112,150,5950
000113.png,69,112,109,111,88,137,70,152,106,151,821
000114.png,69,111,108,112,89,138,72,153,107,151,7256
000115.png,72,111,106,110,87,135,74,154,102,154,6802
000116.png,68,112,109,111,90,136,66,152,110,150,4887
000117.png,69,111,108,111,83,131,72,153,105,151,2678
000118.png,69,113,109,111,97,143,69,153,107,150,6938
000119.png,70,111,107,110,91,137,74,152,102,153,9605
000120.png,75,109,103,108,120,136,69,153,106,161,4500
000121.png,68,112,109,112,87,139,68,151,109,151,3705
000122.png,68,112,109,112,86,137,67,151,110,151,999
000123.png,70,111,107,111,84,134,72,152,104,153,6892
000124.png,71,111,107,110,96,137,74,154,102,152,7541
000125.png,69,111,108,111,87,136,69,153,109,151,4225
000126.png,68,112,109,112,80,139,69,150,108,152,206
000127.png,69,111,108,112,85,137,73,151,104,153,7018
000128.png,69,113,109,110,94,140,68,154,106,149,4963
000129.png,69,111,107,111,86,140,70,152,108,152,59
000130.png,70,111,107,111,87,139,73,154,103,152,167
000131.png,69,111,108,112,76,138,68,150,110,153,7222
000132.png,68,111,109,112,84,138,68,150,110,152,5173
000133.png,69,112,109,111,90,141,69,151,107,152,6679
000134.png,70,108,105,113,75,137,71,153,110,154,5609
000135.png,70,112,108,110,93,141,67,151,108,153,2522
000136.png,70,111,107,110,81,136,70,152,106,154,8593
000137.png,72,113,107,108,105,136,69,155,103,153,3602
000138.png,69,110,107,112,89,128,70,153,109,152,1278
000139.png,70,111,107,110,78,138,70,152,106,153,5026
000140.png,70,111,107,111,93,134,72,152,104,153,5151
000141.png,70,111,107,111,88,133,74,152,103,153,4152
000142.png,70,111,107,111,90,137,74,153,102,153,7624
000143.png,69,112,109,111,84,134,69,152,108,151,5787
000144.png,72,109,105,111,76,133,77,154,101,155,5777
000145.png,68,112,109,111,95,139,65,152,111,150,8776
000146.png,73,112,106,108,109,136,70,155,103,154,7147
000147.png,69,111,108,111,89,133,75,151,102,152,3485
000148.png,73,110,105,109,98,134,75,157,101,153,5626
000149.png,70,112,108,111,90,120,71,153,105,152,7284
000150.png,71,112,107,110,90,137,75,153,100,153,6568
000151.png,69,112,109,111,92,142,64,152,112,151,860
000152.png,68,111,108,112,90,134,70,151,108,151,4223
000153.png,68,111,109,112,89,138,67,150,110,152,4099
000154.png,71,110,106,111,87,129,74,153,103,154,6565
000155.png,67,111,109,113,86,143,67,151,111,150,800
000156.png,68,111,108,112,81,136,69,151,109,152,4269
000157.png,69,111,108,111,89,132,73,152,104,151,5311
000158.png,70,111,107,111,81,133,72,153,106,152,8766
000159.png,69,105,103,115,72,142,79,152,107,156,2408
000160.png,70,111,107,111,88,140,73,152,104,152,1435
000161.png,68,111,109,112,85,134,69,151,109,152,6282
000162.png,70,112,108,110,81,125,71,153,104,151,3055
000163.png,69,112,109,111,81,132,73,151,102,152,1145
000164.png,71,111,106,110,85,131,72,154,104,153,9490
000165.png,71,111,106,110,92,134,74,154,102,153,260
000166.png,70,112,108,110,84,130,71,154,104,151,4328
000167.png,71,109,105,111,104,131,77,157,102,151,3170
000168.png,68,114,111,110,98,141,64,153,109,147,2463
000169.png,69,110,107,112,93,122,75,152,105,153,1028
000170.png,69,112,108,111,88,136,72,151,105,152,2439
000171.png,70,111,107,111,95,138,73,152,104,154,78
000172.png,70,112,108,110,82,134,70,153,105,152,6844
000173.png,66,112,110,113,87,139,69,149,109,150,7078
000174.png,68,111,108,112,86,139,67,151,110,151,5189
000175.png,68,111,108,113,81,143,69,149,110,153,4422
000176.png,68,112,109,111,90,133,70,152,106,151,7434
000177.png,73,109,104,110,101,132,79,157,98,154,9341
000178.png,67,111,109,113,87,144,67,151,111,150,3798
000179.png,69,112,108,111,83,138,72,151,104,152,4258
000180.png,68,111,109,113,86,137,72,151,106,151,7367
000181.png,68,109,107,113,80,137,70,149,111,155,2219
000182.png,70,111,107,111,90,130,71,153,106,152,9476
000183.png,68,111,109,112,79,139,67,149,111,153,1472
000184.png,71,108,104,112,71,140,78,153,102,156,9304
000185.png,70,113,108,109,81,126,72,154,102,151,5815
000186.png,71,112,107,110,77,135,72,152,103,154,4979
000187.png,69,111,108,111,79,136,67,151,110,153,2146
000188.png,72,110,105,110,80,134,72,154,105,154,142
000189.png,64,111,111,116,81,141,69,147,112,149,603
000190.png,70,112,108,111,85,133,73,153,103,151,5246
000191.png,66,112,110,113,84,146,66,149,112,150,1111
000192.png,66,113,111,112,94,135,66,149,110,149,8198
000193.png,70,111,107,111,93,128,73,153,104,153,2680
000194.png,69,111,108,111,78,135,67,152,109,152,9352
000195.png,70,112,108,111,96,133,70,152,106,153,3376
000196.png,69,111,108,112,84,135,70,152,108,151,5564
000197.png,70,111,107,111,79,137,73,152,105,153,2717
000198.png,69,111,108,112,93,138,72,152,105,151,693
000199.png,62,115,116,114,89,146,70,146,106,144,1300
000200.png,70,111,107,111,84,137,74,153,103,152,4945
000201.png,69,112,108,111,85,133,73,153,104,151,3298
000202.png,70,110,107,111,97,130,73,153,104,153,8298
000203.png,70,111,107,111,92,134,72,153,104,153,1322
000204.png,68,112,109,111,85,136,66,151,110,151,6819
000205.png,70,111,107,111,92,135,72,152,105,153,4811
000206.png,70,110,106,112,74,136,72,153,107,153,3537
000207.png,70,111,107,110,90,129,75,153,101,152,7410
000208.png,67,113,110,112,89,141,69,149,107,151,846
000209.png,69,112,108,111,92,142,65,152,110,151,2650
000210.png,72,112,107,109,88,131,73,154,101,153,3602
000211.png,69,111,107,112,90,139,73,152,105,152,1817
000212.png,70,111,107,110,90,134,74,153,102,153,6718
000213.png,69,111,108,111,89,137,72,152,106,153,8587
000214.png,69,112,109,111,89,139,68,151,109,152,6376
000215.png,70,111,107,111,92,135,72,152,105,153,4503
000216.png,69,111,108,111,88,137,74,152,103,152,4664
000217.png,70,111,107,111,87,136,72,151,105,153,1976
000218.png,69,112,108,111,95,133,70,152,106,151,6465
000219.png,68,110,107,113,82,141,74,151,106,153,1364
000220.png,71,111,107,110,96,137,73,154,102,153,4288
000221.png,71,111,106,110,88,136,73,153,103,154,4810
000222.png,67,112,110,112,85,136,71,150,105,150,578
000223.png,71,111,107,110,89,141,68,152,108,154,6174
000224.png,69,112,108,111,86,145,73,151,104,153,1735
000225.png,65,111,110,114,85,145,68,148,112,150,449
000226.png,67,112,110,112,88,129,67,151,110,150,1739
000227.png,74,110,103,109,106,134,76,157,100,155,9449
000228.png,67,114,111,111,93,140,66,151,109,149,3422
000229.png,69,111,107,111,89,132,71,153,106,152,2766
000230.png,70,111,107,111,97,134,69,152,107,153,1643
000231.png,69,112,108,111,85,125,73,152,104,151,614
000232.png,70,112,108,110,75,131,68,153,107,152,3986
000233.png,71,111,107,110,85,131,74,152,102,154,4642
000234.png,71,109,105,112,86,138,73,153,107,155,8061
000235.png,70,112,108,111,85,136,72,152,104,153,4231
000236.png,68,112,109,112,83,141,72,150,106,151,2292
000237.png,71,110,106,111,94,133,76,154,102,153,7524
000238.png,69,110,108,112,96,131,75,151,103,152,4561
000239.png,68,112,109,112,88,137,65,151,111,151,3808
000240.png,74,107,101,110,69,129,82,157,97,157,4984
000241.png,69,112,108,111,96,132,69,153,108,150,290
000242.png,69,111,108,111,93,139,73,152,104,151,226
000243.png,74,111,104,108,76,127,74,157,101,155,9740
000244.png,70,111,107,111,93,137,74,152,103,153,9455
000245.png,73,109,104,110,69,134,73,156,105,155,4686
000246.png,73,109,104,110,75,136,78,155,100,156,509
000247.png,67,111,109,112,83,139,67,150,110,151,5680
000248.png,70,110,106,111,89,129,73,153,104,153,6243
000249.png,67,112,110,113,88,142,66,150,111,150,7071
000250.png,70,111,107,111,87,130,73,152,104,153,9450
000251.png,70,109,106,112,101,129,76,153,103,153,9213
000252.png,71,110,106,111,97,133,72,154,106,154,4960
000253.png,72,110,106,110,98,135,76,154,100,154,608
000254.png,67,112,109,112,89,136,65,151,112,150,6936
000255.png,69,112,108,111,90,135,74,151,103,153,1634
000256.png,69,111,107,112,99,136,72,152,106,153,2175
000257.png,70,111,107,111,81,131,74,152,103,153,2018
000258.png,68,112,109,111,87,135,72,151,105,151,5489
000259.png,71,112,107,110,92,138,70,153,104,152,3032
000260.png,69,112,108,111,95,139,72,153,104,151,1156
000261.png,72,110,106,110,100,135,73,154,103,154,1204
000262.png,68,112,109,111,91,142,66,152,110,151,6235
000263.png,69,111,108,112,89,135,73,152,104,151,3118
000264.png,70,111,107,111,88,132,72,153,105,153,6765
000265.png,72,111,105,109,94,134,73,155,102,154,2645
000266.png,70,111,107,111,87,129,75,153,102,153,1682
000267.png,70,111,107,111,84,137,72,153,104,152,6440
000268.png,70,111,107,111,88,133,72,152,105,153,3144
000269.png,68,111,109,112,82,137,69,150,108,152,6636
000270.png,68,112,110,112,86,137,66,150,110,151,6961
000271.png,70,112,108,110,89,136,69,153,107,151,6330
000272.png,70,112,107,110,82,135,67,151,109,155,6067
000273.png,68,111,108,112,84,133,70,151,108,152,2136
000274.png,68,112,109,112,89,134,65,151,112,152,4211
000275.png,68,110,107,113,83,134,72,152,107,152,8269
000276.png,69,111,108,111,88,138,70,152,107,152,9955
000277.png,68,112,109,112,86,140,66,150,110,151,7359
000278.png,69,112,109,111,89,136,70,152,106,151,2161
000279.png,69,110,107,112,79,139,73,153,106,152,5978
000280.png,69,112,108,111,86,130,72,152,104,152,7434
000281.png,71,110,106,111,78,133,75,153,102,154,9027
000282.png,69,110,107,112,84,132,69,152,109,153,2764
000283.png,74,110,104,109,105,132,74,155,101,158,1269
000284.png,67,112,110,112,91,131,69,150,108,150,9876
000285.png,69,111,108,112,91,139,72,152,105,151,6394
000286.png,70,111,108,111,86,138,70,152,107,152,3449
000287.png,70,111,107,111,93,135,75,153,102,152,323
000288.png,69,111,108,111,85,130,74,152,104,152,3804
000289.png,70,111,107,111,84,137,72,153,105,153,2150
000290.png,70,112,108,111,85,126,74,153,102,152,2630
000291.png,70,111,107,111,87,134,72,154,105,153,4960
000292.png,69,112,109,111,88,136,74,151,101,152,290
000293.png,68,108,106,114,75,137,77,151,106,154,3175
000294.png,73,110,104,109,72,133,75,155,100,156,2522
000295.png,69,109,106,112,76,130,75,151,105,154,1107
000296.png,69,111,108,111,83,135,68,151,108,152,8959
000297.png,70,111,107,111,91,137,74,153,103,153,8582
000298.png,67,112,110,112,89,141,64,151,113,150,8441
000299.png,68,112,109,112,87,137,69,150,108,152,8138
000300.png,68,111,109,112,86,133,67,150,111,152,1007
000301.png,68,112,109,112,89,137,66,151,111,151,4644
000302.png,67,112,110,112,90,139,69,150,108,150,3860
000303.png,70,112,108,110,83,131,72,151,103,153,2249
000304.png,70,110,107,111,93,134,74,154,103,152,7922
000305.png,69,111,108,111,86,139,70,153,107,152,9703
000306.png,71,111,106,110,88,136,73,153,103,154,7405
000307.png,69,111,108,112,89,138,73,151,104,152,2049
000308.png,70,108,105,113,97,128,77,151,105,156,8939
000309.png,70,112,107,110,75,136,73,152,103,153,5586
000310.png,69,112,109,111,86,127,71,152,105,151,3450
000311.png,69,111,108,111,91,131,72,152,105,152,933
000312.png,67,111,109,112,89,141,73,150,105,151,128
000313.png,69,112,109,111,90,144,67,152,109,151,1093
000314.png,70,110,107,112,80,138,75,152,103,153,430
000315.png,69,110,107,112,89,132,76,153,102,152,969
000316.png,72,111,106,110,100,133,71,155,105,153,6980
000317.png,68,109,106,114,77,139,68,150,113,155,1371
000318.png,69,111,107,112,84,140,71,152,107,152,167
000319.png,73,109,103,110,100,135,77,156,101,155,9701
000320.png,70,111,107,111,82,138,74,153,103,153,4605
000321.png,67,111,109,113,78,130,71,150,109,151,9767
000322.png,69,112,108,111,88,140,69,152,107,151,8514
000323.png,70,113,108,110,83,128,70,153,105,151,3875
000324.png,69,111,108,111,89,138,70,152,107,152,5870
000325.png,69,112,108,111,90,138,67,152,110,151,1535
000326.png,70,110,106,111,83,137,75,152,103,154,2239
000327.png,68,112,109,112,92,142,70,152,107,150,8198
000328.png,71,112,107,109,98,142,71,153,103,154,6351
000329.png,70,112,108,110,77,136,70,153,105,152,2030
000330.png,69,112,108,111,87,140,71,152,106,152,7564
000331.png,70,111,107,111,87,134,73,153,103,153,8469
000332.png,70,111,107,111,91,132,73,152,104,152,9000
000333.png,70,112,108,111,87,134,69,152,107,152,4819
000334.png,68,112,109,112,86,134,67,150,110,151,690
000335.png,72,110,105,110,89,134,73,154,105,155,6410
000336.png,67,113,110,112,88,129,67,150,109,150,1024
000337.png,69,112,108,111,90,132,73,152,103,152,611
000338.png,69,112,108,111,83,129,73,153,103,151,10020
000339.png,72,110,105,110,94,134,75,153,103,155,769
000340.png,68,112,109,112,92,143,67,151,110,150,3936
000341.png,69,110,107,112,74,139,69,150,110,155,803
000342.png,70,112,108,110,94,137,74,154,101,151,7177
000343.png,71,111,107,110,94,136,73,153,103,153,2134
000344.png,68,111,109,112,89,126,73,151,105,151,975
000345.png,69,112,108,112,90,138,74,153,103,150,1515
000346.png,72,111,106,110,91,138,73,154,103,154,2386
000347.png,70,113,109,109,93,138,73,153,100,151,7539
000348.png,69,111,108,111,88,133,71,151,106,152,2965
000349.png,69,111,108,112,88,134,71,152,107,151,8816
000350.png,70,111,106,111,87,130,75,153,102,153,1250
000351.png,71,112,107,110,82,133,73,154,102,152,10010
000352.png,68,111,108,112,90,134,67,150,110,152,2753
000353.png,67,113,110,112,89,141,66,150,110,150,7183
000354.png,67,112,110,113,84,133,66,150,112,150,5611
000355.png,70,111,107,111,88,132,74,152,103,152,7115
000356.png,69,111,108,111,91,136,73,152,103,152,7798
000357.png,68,111,109,112,87,142,66,151,111,151,654
000358.png,68,112,109,111,90,141,66,152,109,150,5649
000359.png,68,112,109,112,88,140,65,151,111,150,990
000360.png,70,111,107,111,90,138,76,153,101,153,2513
000361.png,70,110,106,111,90,132,75,153,102,153,9886
000362.png,69,111,108,112,89,133,73,152,104,151,3060
000363.png,70,113,108,110,78,128,71,153,103,151,951
000364.png,68,112,110,112,87,133,67,150,109,151,1213
000365.png,69,112,108,111,84,133,70,152,106,152,2026
000366.png,69,113,109,110,80,130,66,155,108,148,7115
000367.png,71,109,106,111,86,131,74,153,104,154,2713
000368.png,69,111,108,112,90,135,68,152,109,151,3256
000369.png,69,111,108,112,94,130,71,150,106,153,6712
000370.png,71,110,105,111,96,134,76,154,101,154,3655
000371.png,72,111,105,109,76,134,75,153,100,156,879
000372.png,70,110,106,111,74,138,71,151,107,155,4150
000373.png,70,113,109,110,96,128,73,152,102,151,4438
000374.png,69,112,108,111,89,123,74,153,102,151,3173
000375.png,70,109,106,112,75,129,73,151,106,156,3034
000376.png,70,112,108,111,80,125,71,153,105,151,2297
000377.png,70,111,107,111,87,136,73,152,104,153,6476
000378.png,74,112,105,108,100,138,70,155,104,156,7188
000379.png,69,110,106,112,100,130,76,153,103,152,6616
000380.png,71,111,106,110,95,137,71,155,105,153,4496
000381.png,68,111,109,112,78,139,68,150,109,152,6023
000382.png,67,111,109,113,88,136,65,151,113,151,10110
000383.png,69,111,108,111,87,137,72,151,105,153,7528
000384.png,67,112,109,112,83,133,69,149,109,152,310
000385.png,71,109,105,112,104,131,69,153,110,155,1456
000386.png,70,111,107,111,88,132,73,153,104,152,6013
000387.png,66,112,110,113,88,137,68,149,111,150,5127
000388.png,68,111,109,112,90,131,70,151,108,151,5406
000389.png,70,111,107,111,92,144,70,154,107,151,8192
000390.png,68,111,108,112,88,122,69,150,108,152,8741
000391.png,67,112,110,112,82,135,67,149,110,151,587
000392.png,70,111,107,110,91,136,71,152,105,153,5784
000393.png,66,111,110,114,79,144,68,149,112,151,9978
000394.png,69,112,109,111,93,139,64,152,112,151,102
000395.png,68,108,106,115,101,122,74,150,109,154,879
000396.png,69,111,108,112,85,136,67,152,111,151,4284
000397.png,69,112,108,111,93,139,71,152,104,152,7019
000398.png,70,112,108,110,85,134,74,152,102,153,2934
000399.png,69,111,108,111,88,134,73,152,103,152,9159
000400.png,69,110,107,112,91,133,75,152,103,153,1457
000401.png,70,111,107,111,87,134,73,152,104,154,535
000402.png,70,111,107,111,88,140,71,154,105,152,4225
000403.png,70,111,107,111,86,135,72,154,105,152,1533
000404.png,68,110,108,113,83,142,70,151,109,152,2880
000405.png,71,110,106,111,82,135,76,153,101,154,9370
000406.png,67,111,109,113,94,136,69,150,109,151,7556
000407.png,71,111,106,110,73,132,70,153,106,154,6353
000408.png,70,112,108,111,92,141,72,152,104,152,3203
000409.png,72,110,105,110,78,132,74,154,102,154,8226
000410.png,69,110,107,112,74,133,70,150,109,154,5926
000411.png,69,111,107,112,84,136,64,152,114,153,1387
000412.png,70,111,108,111,83,138,71,152,106,152,147
000413.png,70,113,109,110,100,141,61,155,113,149,4400
000414.png,70,111,107,111,89,135,73,152,105,153,2606
000415.png,69,111,108,111,87,138,74,152,103,152,3023
000416.png,68,111,108,112,90,134,72,151,106,151,3501
000417.png,82,107,96,104,110,133,81,164,93,162,9672
000418.png,69,113,109,110,79,130,70,151,104,152,3401
000419.png,69,112,108,111,89,130,70,152,106,152,4295
000420.png,67,112,110,112,89,130,68,151,109,149,6858
000421.png,70,111,107,111,96,136,74,153,104,153,2953
000422.png,68,112,109,112,88,134,70,151,108,151,3737
000423.png,69,111,108,111,89,134,77,152,100,152,4579
000424.png,70,112,108,110,91,136,69,152,106,153,5193
000425.png,69,111,108,111,90,135,69,152,108,153,2081
000426.png,69,111,107,112,81,139,72,152,106,152,7133
000427.png,72,111,106,110,87,132,76,154,100,154,6767
000428.png,68,111,109,112,90,138,70,152,107,150,3544
000429.png,71,111,107,110,81,134,70,154,106,153,1035
000430.png,69,111,108,112,88,141,71,152,106,152,155
000431.png,68,111,108,112,85,139,71,151,107,152,5329
000432.png,69,111,108,111,88,129,72,153,105,151,1362
000433.png,67,111,109,113,81,140,69,152,109,149,8438
000434.png,69,111,108,111,91,137,72,152,105,151,3625
000435.png,68,113,110,111,88,137,65,150,111,151,10162
000436.png,68,112,109,112,91,139,69,151,107,150,3029
000437.png,71,109,105,111,82,131,72,153,107,156,3379
000438.png,69,111,108,111,82,136,73,153,104,152,1345
000439.png,69,111,108,111,84,131,72,151,104,153,9745
000440.png,68,112,109,112,89,139,68,151,109,151,7919
000441.png,68,111,108,112,92,129,72,151,106,152,8398
000442.png,68,111,109,113,90,137,73,152,106,150,2063
000443.png,71,110,106,110,94,135,74,154,103,154,769
000444.png,69,112,109,111,92,140,70,152,106,151,6792
000445.png,71,111,107,111,82,128,74,153,103,153,5176
000446.png,67,112,110,112,83,138,66,149,111,151,4565
000447.png,71,110,106,111,93,133,74,153,104,154,9123
000448.png,68,112,109,111,87,128,70,149,106,153,6450
000449.png,69,112,109,111,92,141,72,152,104,151,8178
000450.png,70,110,106,111,93,130,71,153,106,153,1057
000451.png,68,112,109,112,88,127,73,152,104,151,1148
000452.png,66,113,111,113,91,137,66,150,111,148,8142
000453.png,72,110,104,110,75,132,77,154,99,156,4080
000454.png,75,113,105,106,114,136,69,156,102,155,7091
000455.png,67,113,111,112,91,137,67,149,109,150,8196
000456.png,68,111,108,112,90,135,69,152,109,151,5
000457.png,69,111,108,111,86,134,71,150,106,153,7346
000458.png,69,112,109,111,91,137,65,152,110,151,1002
000459.png,71,111,107,110,96,135,74,153,102,153,2706
000460.png,73,112,106,108,79,125,75,156,98,154,3240
000461.png,69,112,109,111,90,138,72,152,104,151,7385
000462.png,69,111,108,112,88,137,67,152,110,152,6826
000463.png,69,111,108,111,81,133,73,153,104,151,10130
000464.png,69,111,107,111,91,132,75,152,103,152,3027
000465.png,68,111,108,112,89,142,69,150,108,153,7593
000466.png,69,112,108,111,88,137,73,152,104,152,8271
000467.png,68,112,109,112,89,143,67,151,110,151,497
000468.png,69,110,107,112,80,139,76,152,103,152,9192
000469.png,70,110,107,111,86,135,75,152,102,153,4991
000470.png,69,111,108,112,90,129,74,151,104,152,1309
000471.png,68,111,108,112,77,141,68,151,110,151,384
000472.png,67,112,110,112,87,135,69,150,108,150,6361
000473.png,70,110,106,111,90,131,76,153,102,153,9519
000474.png,71,110,106,111,92,129,73,152,104,156,3958
000475.png,69,112,109,111,91,130,68,151,108,151,8916
000476.png,68,111,109,112,89,138,70,152,108,150,7011
000477.png,70,111,107,111,85,136,72,152,105,153,10168
000478.png,68,112,109,111,88,140,72,151,103,150,4876
000479.png,71,111,106,110,86,137,72,153,103,154,9047
000480.png,70,111,107,111,87,134,75,153,101,153,5177
000481.png,69,111,108,112,88,143,73,151,105,153,22
000482.png,71,111,106,110,85,132,74,154,102,153,2755
000483.png,68,111,108,113,74,133,69,148,109,154,7795
000484.png,69,111,108,111,89,137,69,152,108,152,6618
000485.png,70,112,108,110,101,139,69,153,106,151,1723
000486.png,69,111,108,111,77,134,70,151,107,153,7391
000487.png,68,111,108,112,89,134,67,150,112,152,1819
000488.png,68,111,109,112,91,136,75,151,102,151,1984
000489.png,67,112,110,113,87,138,67,150,110,150,8532
000490.png,72,111,106,110,100,136,73,155,103,153,8820
000491.png,70,109,105,112,102,130,78,153,102,154,7007
000492.png,68,112,109,112,85,141,69,150,108,151,33
000493.png,67,112,110,112,87,132,69,150,108,151,5236
000494.png,70,111,107,111,90,135,71,152,106,152,5795
000495.png,68,112,109,112,90,142,67,150,109,152,4449
000496.png,67,112,109,112,87,140,67,150,111,151,1685
